2020-12-03 22:23:53,801      WARNING       16     server starts with 127.0.0.1:9035
2020-12-03 22:23:53,803      DEBUG         18     server successfully started socket <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('0.0.0.0', 0)>
2020-12-03 22:23:53,803      DEBUG         20     server successfully got socket
2020-12-03 22:23:53,804      DEBUG         25     server started to listen socket
2020-12-03 22:24:03,412      DEBUG         30     server got message from <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 9035), raddr=('127.0.0.1', 65004)>
2020-12-03 22:24:03,412      INFO          33     server got 1 messages since has been started
2020-12-03 22:24:03,412      DEBUG         42     Checking presence from <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 9035), raddr=('127.0.0.1', 65004)>: {'action': 'presence', 'time': 1607023443.4122822, 'user': {'account_name': 'Guest'}}
2020-12-03 22:24:03,413      INFO          45     created answer to client - {'response': 200}
2020-12-03 22:24:03,413      DEBUG         52     message sent to <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 9035), raddr=('127.0.0.1', 65004)> with {'response': 200}
2020-12-03 22:24:03,413      DEBUG         53     connection closed to <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 9035), raddr=('127.0.0.1', 65004)>
2020-12-03 22:24:03,413      DEBUG         36     message sent to <socket.socket [closed] fd=-1, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0>
2020-12-03 22:25:01,839      WARNING       38     server stopped
